observation_date,DEXTHUS
1993-12-06,25.4300
1993-12-07,25.4000
1993-12-08,25.4100
1993-12-09,25.4300
1993-12-10,25.4000
1993-12-13,25.3900
1993-12-14,25.4000
1993-12-15,25.4500
1993-12-16,25.4500
1993-12-17,25.4400
1993-12-20,25.4600
1993-12-21,25.4700
1993-12-22,25.4900
1993-12-23,25.4750
1993-12-24,25.4700
1993-12-27,25.5000
1993-12-28,25.5000
1993-12-29,25.5000
1993-12-30,25.5700
1993-12-31,25.5800
1994-01-03,25.5800
1994-01-04,25.5900
1994-01-05,25.5800
1994-01-06,25.5700
1994-01-07,25.5700
1994-01-10,25.5600
1994-01-11,25.5800
1994-01-12,25.5800
1994-01-13,25.6000
1994-01-14,25.5800
1994-01-17,
1994-01-18,25.5700
1994-01-19,25.5200
1994-01-20,25.5300
1994-01-21,25.5200
1994-01-24,25.5300
1994-01-25,25.5475
1994-01-26,25.4900
1994-01-27,25.4750
1994-01-28,25.4400
1994-01-31,25.4500
1994-02-01,25.4050
1994-02-02,25.3950
1994-02-03,25.4100
1994-02-04,25.4450
1994-02-07,25.4500
1994-02-08,25.4500
1994-02-09,25.4300
1994-02-10,25.4800
1994-02-11,25.4700
1994-02-14,25.3480
1994-02-15,25.3200
1994-02-16,25.3000
1994-02-17,25.3150
1994-02-18,25.3350
1994-02-21,
1994-02-22,25.3500
1994-02-23,25.3550
1994-02-24,25.3650
1994-02-25,25.3200
1994-02-28,25.3100
1994-03-01,25.3500
1994-03-02,25.2800
1994-03-03,25.3200
1994-03-04,25.3300
1994-03-07,25.3200
1994-03-08,25.3100
1994-03-09,25.3200
1994-03-10,25.3100
1994-03-11,25.2800
1994-03-14,25.3100
1994-03-15,25.3200
1994-03-16,25.3100
1994-03-17,25.3075
1994-03-18,25.3200
1994-03-21,25.3000
1994-03-22,25.2950
1994-03-23,25.9700
1994-03-24,25.2725
1994-03-25,25.2550
1994-03-28,25.2700
1994-03-29,25.2300
1994-03-30,25.2400
1994-03-31,25.2500
1994-04-01,25.2500
1994-04-04,25.2600
1994-04-05,25.3000
1994-04-06,25.3300
1994-04-07,25.3400
1994-04-08,25.3400
1994-04-11,25.2600
1994-04-12,25.2700
1994-04-13,25.2700
